Domaine,Sujet,Détails,Question 1,Réponse 1,Explication 1,Question 2,Réponse 2,Explication 2,Question 3,Réponse 3,Explication 3,Question 4,Réponse 4,Explication 4,Question 5,Réponse 5,Explication 5,Question 6,Réponse 6,Explication 6,Question 7,Réponse 7,Explication 7,Question 8,Réponse 8,Explication 8,Question 9,Réponse 9,Explication 9,Question 10,Réponse 10,Explication 10
Administration Systèmes,Systèmes d'exploitation,"Administration Windows Server, Linux, Unix.",Quel est le rôle principal d'Active Directory sous Windows Server ?,Gérer de manière centralisée les identités et les accès des utilisateurs et des ordinateurs.,L'Active Directory (AD) agit comme un annuaire centralisé. Il permet d'authentifier les utilisateurs sur le domaine et d'appliquer des stratégies de sécurité (GPO) de manière globale.,Quelle commande Linux permet de lister le contenu d'un répertoire avec les droits d'accès détaillés ?,ls -l,La commande 'ls' liste le contenu et l'option '-l' (format long) affiche les permissions (rwx) le propriétaire le groupe la taille et la date de modification.,Quel est le système de fichiers historique et standard utilisé sur les volumes Windows Server ?,NTFS (New Technology File System).,NTFS prend en charge les permissions avancées le chiffrement (EFS) et les quotas de disque. Microsoft pousse aussi ReFS pour les très grands volumes de données.,Comment afficher l'adresse IP d'une interface réseau sous une distribution Linux récente ?,ip a (ou ip addr),La commande 'ip' issue du paquet iproute2 a remplacé l'ancienne commande 'ifconfig' qui est aujourd'hui considérée comme obsolète.,Quel fichier de configuration sous Linux contient les informations de base sur les comptes utilisateurs ?,/etc/passwd,Ce fichier contient la liste des utilisateurs locaux leurs UID (User ID) GID (Group ID) le chemin de leur répertoire personnel et leur shell par défaut. Les mots de passe hachés sont eux stockés dans /etc/shadow pour des raisons de sécurité.,Comment forcer immédiatement l'application des stratégies de groupe (GPO) sur un client ou un serveur Windows ?,gpupdate /force,Par défaut les GPO s'actualisent à intervalles réguliers (ex: 90 minutes). Cette commande force le système à interroger le contrôleur de domaine et à appliquer les changements instantanément.,Quelle est la différence fondamentale entre un lien physique (hard link) et un lien symbolique (symlink) sous Linux ?,Le hard link pointe directement vers l'inode du fichier sur le disque tandis que le symlink pointe vers le chemin du fichier.,Si on supprime le fichier original un hard link conservera toujours l'accès aux données car l'inode existe encore. Un symlink deviendra un lien mort (cassé) car le chemin vers lequel il pointe n'existe plus.,"Qu'est-ce que l'option d'installation ""Serveur Core"" sous Windows Server ?",Une installation minimale de Windows Server sans interface graphique (GUI).,Géré principalement via PowerShell ou à distance Serveur Core réduit l'utilisation des ressources matérielles diminue la surface d'attaque et réduit le nombre de redémarrages nécessaires suite aux mises à jour.,"Sous Linux à quoi sert le démon ""cron"" ?",À planifier l'exécution automatique de tâches (scripts commandes) à des moments précis.,"Les administrateurs utilisent des tables appelées ""crontab"" pour automatiser des processus récurrents comme les sauvegardes les purges de logs ou les synchronisations.",Comment modifier les permissions d'un fichier sous Linux (en notation octale) pour que le propriétaire ait tous les droits le groupe les droits de lecture/exécution et les autres aucun droit ?,chmod 750 nom_du_fichier,En notation octale : 7 (4 lire + 2 écrire + 1 exécuter) pour le propriétaire ; 5 (4 lire + 1 exécuter) pour le groupe ; 0 (aucun droit) pour les autres.
Administration Systèmes,Services réseaux de base,"Implémentation et gestion DNS, DHCP, certificats.",Que signifie le sigle DHCP et quel est son rôle principal ?,Dynamic Host Configuration Protocol. Il distribue automatiquement des adresses IP et d'autres paramètres réseau aux clients.,Le DHCP évite de configurer manuellement chaque machine ce qui gagne du temps et réduit les erreurs de conflits d'adresses IP.,Quel est le rôle principal d'un serveur DNS ?,Traduire les noms de domaine lisibles par les humains en adresses IP compréhensibles par les machines.,Le DNS (Domain Name System) fonctionne comme un annuaire téléphonique pour Internet ou un réseau local permettant d'utiliser des noms comme www.google.com au lieu de retenir des suites de chiffres.,À quoi sert principalement un certificat SSL/TLS ?,À chiffrer les échanges de données et à authentifier l'identité du serveur.,Les certificats garantissent que la communication entre un client et un serveur est sécurisée et que le serveur est bien celui qu'il prétend être (évitant ainsi les attaques de l'homme du milieu).,Qu'est-ce qu'une réservation DHCP ?,C'est l'attribution permanente d'une adresse IP spécifique à une adresse MAC donnée.,Cela permet à un équipement (comme une imprimante ou un serveur) d'avoir toujours la même adresse IP tout en bénéficiant de la gestion centralisée du serveur DHCP.,Dans une zone DNS à quoi correspond un enregistrement de type A ?,Il associe un nom d'hôte à une adresse IPv4.,C'est le type d'enregistrement le plus courant. Pour une adresse IPv6 on utilise un enregistrement de type AAAA.,Quelles sont les 4 étapes du processus d'attribution d'une adresse IP par DHCP (processus DORA) ?,Discover Offer Request Acknowledge.,Le client diffuse un message Discover le serveur propose une adresse via Offer le client demande formellement cette adresse via Request et le serveur valide avec Acknowledge.,Qu'est-ce qu'une zone de recherche inversée dans le DNS ?,Une zone qui permet de trouver le nom d'hôte associé à une adresse IP connue.,Contrairement à la zone de recherche directe (nom vers IP) la recherche inversée utilise des enregistrements de type PTR (Pointer) pour résoudre une IP en nom.,À quoi sert un enregistrement DNS de type CNAME ?,À créer un alias pointant vers un autre nom de domaine.,Le CNAME (Canonical Name) est utile pour rediriger plusieurs services (comme www ou ftp) vers le même enregistrement A principal ce qui facilite les mises à jour en cas de changement d'IP.,Qu'est-ce qu'une demande de signature de certificat (CSR) ?,C'est un bloc de texte chiffré généré sur le serveur contenant les informations de l'organisation et la clé publique.,Le CSR est envoyé à une autorité de certification (CA) pour qu'elle génère le certificat final. La clé privée associée reste secrète sur le serveur d'origine.,Qu'est-ce qu'une CRL et comment le protocole OCSP améliore-t-il ce système ?,La CRL est la liste des certificats révoqués. OCSP permet de vérifier l'état d'un certificat en temps réel au lieu de télécharger la liste entière.,La CRL (Certificate Revocation List) peut devenir très volumineuse. OCSP (Online Certificate Status Protocol) est plus léger et rapide car il interroge l'autorité de certification uniquement pour le certificat concerné.
Administration Systèmes,Annuaires et Identité,"LDAP, Active Directory (AD), Azure AD, synchronisation dans un cloud hybride.",Que signifie LDAP et à quoi sert ce protocole ?,Lightweight Directory Access Protocol. Il sert à interroger et modifier les services d'annuaire.,LDAP est le standard de l'industrie pour accéder aux annuaires. Il permet de rechercher rapidement des informations sur les utilisateurs les groupes ou les appareils dans un réseau.,Dans Active Directory qu'est-ce qu'une Unité d'Organisation (OU) ?,C'est un conteneur logique permettant d'organiser les objets du domaine.,Les OU servent à structurer l'annuaire de l'entreprise (par service ou par site géographique) pour y appliquer des stratégies de groupe (GPO) ou déléguer des droits d'administration.,Quel est le rôle d'un Contrôleur de Domaine (DC) ?,C'est un serveur qui héberge la base de données Active Directory et gère l'authentification.,Le DC vérifie les identifiants des utilisateurs qui se connectent au réseau et leur accorde les accès autorisés par les stratégies de sécurité.,Qu'est-ce qu'Azure AD (récemment renommé Microsoft Entra ID) ?,C'est le service cloud de gestion des identités et des accès de Microsoft.,Contrairement à l'Active Directory local (AD DS) qui gère le réseau interne Azure AD est conçu pour gérer les accès aux applications cloud comme Microsoft 365 ou Salesforce.,Que signifie le terme SSO (Single Sign-On) ?,Authentification unique. Cela permet d'accéder à plusieurs applications avec un seul jeu d'identifiants.,Le SSO améliore l'expérience utilisateur et la sécurité car l'utilisateur n'a plus besoin de retenir des dizaines de mots de passe différents.,Quel outil Microsoft permet de synchroniser un Active Directory local avec Azure AD ?,Azure AD Connect (ou Microsoft Entra Connect).,Cet outil crée un environnement d'identité hybride en copiant les comptes locaux vers le cloud permettant aux utilisateurs d'utiliser les mêmes identifiants partout.,Quelle est la différence entre un groupe de sécurité et un groupe de distribution dans Active Directory ?,Le groupe de sécurité sert à attribuer des permissions d'accès tandis que le groupe de distribution sert uniquement aux listes de diffusion e-mail.,Les groupes de sécurité peuvent aussi être utilisés comme listes de diffusion mais l'inverse n'est pas possible car les groupes de distribution n'ont pas de SID (identifiant de sécurité).,Quel protocole d'authentification réseau est utilisé par défaut dans Active Directory ?,Le protocole Kerberos.,Kerberos utilise un système de tickets chiffrés pour prouver l'identité d'un utilisateur de manière sécurisée sans transmettre le mot de passe en clair sur le réseau.,Que signifient les attributs DC OU et CN dans la syntaxe LDAP (Distinguished Name) ?,Domain Component (Composant de domaine) Organizational Unit (Unité d'organisation) et Common Name (Nom commun).,Le Distinguished Name (DN) est le chemin absolu d'un objet dans l'annuaire. Exemple : CN=Jean Dupont OU=Informatique DC=entreprise DC=com.,Dans un environnement hybride qu'est-ce que le Password Hash Sync (PHS) ?,C'est une fonctionnalité qui synchronise le hachage des mots de passe locaux vers le cloud Azure AD.,Cela permet aux utilisateurs de s'authentifier directement sur les services cloud avec leur mot de passe local même si le contrôleur de domaine local est hors ligne.
Administration Systèmes,Bureau et nomades,"Services de bureau à distance Microsoft (RDS), environnement de travail des utilisateurs.",Que signifie le sigle RDS dans l'écosystème Microsoft ?,Remote Desktop Services (Services de Bureau à Distance).,C'est un ensemble de rôles Windows Server permettant aux utilisateurs d'accéder à des bureaux virtuels ou des applications à distance de manière centralisée.,Quel protocole est utilisé par défaut pour les connexions de bureau à distance sous Windows ?,Le protocole RDP (Remote Desktop Protocol).,Ce protocole développé par Microsoft permet de transmettre l'affichage l'audio et les commandes clavier/souris à travers le réseau de l'entreprise.,Quel est le port réseau TCP par défaut utilisé par le protocole RDP ?,Le port TCP 3389.,Pour des raisons de sécurité il est souvent recommandé de modifier ce port par défaut ou de restreindre fortement son accès via un pare-feu.,Qu'est-ce qu'un client léger (thin client) dans un contexte de bureau à distance ?,Un équipement simplifié conçu spécifiquement pour se connecter à des sessions distantes.,Il possède très peu de puissance de calcul locale ou de stockage car tout le traitement s'effectue sur le serveur RDS central de l'entreprise.,Quel rôle est indispensable pour qu'une infrastructure RDS fonctionne au-delà de sa période d'essai de 120 jours ?,Le gestionnaire de licences des services Bureau à distance.,Ce serveur a pour mission de distribuer des CAL (Client Access Licenses) pour autoriser légalement les utilisateurs ou les périphériques à se connecter.,"Dans une ferme RDS à quoi sert le rôle ""Service Broker"" (Gestionnaire de connexions) ?",À répartir la charge et à gérer la reconnexion aux sessions actives.,Le Broker dirige les nouveaux utilisateurs vers le serveur le moins chargé et permet à un utilisateur déconnecté de retrouver sa session existante sans perdre son travail.,"Quelle est la différence entre une CAL RDS ""Par utilisateur"" et ""Par périphérique"" ?",La CAL utilisateur suit la personne alors que la CAL périphérique est liée à un ordinateur spécifique.,Le choix dépend du contexte : une usine avec des travailleurs en rotation sur les mêmes postes informatiques préférera des CAL par périphérique pour optimiser les coûts.,Comment sécuriser l'accès depuis Internet à une infrastructure RDS sans obliger l'utilisateur à monter un VPN ?,"En déployant le rôle ""Passerelle des services Bureau à distance"" (RD Gateway).",La passerelle encapsule le trafic RDP à l'intérieur d'un tunnel sécurisé HTTPS (port 443) beaucoup moins vulnérable aux attaques directes depuis Internet.,Dans un environnement RDS multi-serveurs à quoi servent les disques de profil utilisateur (UPD) ?,À centraliser et sauvegarder l'environnement de travail de l'utilisateur de manière indépendante du serveur.,Grâce aux UPD l'utilisateur retrouve son fond d'écran ses favoris et ses documents personnels quel que soit le serveur physique sur lequel le Broker le connecte.,"Quelle est la différence majeure entre la publication d'un bureau complet et la fonctionnalité ""RemoteApp"" ?",RemoteApp permet de n'afficher et d'utiliser qu'une application spécifique au lieu de tout le bureau Windows du serveur.,L'application s'ouvre dans une fenêtre classique sur le poste de l'utilisateur. Elle semble s'exécuter localement ce qui offre une expérience plus fluide et restreint les accès aux fichiers du serveur.
Administration Systèmes,Cloud et SaaS (Système),"Administration de solutions MS 365, Google Workspace.",Qu'est-ce que Microsoft 365 ?,Une plateforme logicielle en mode SaaS proposant des outils de productivité et des services cloud.,Elle regroupe les applications de bureau classiques comme Word ou Excel avec des services cloud comme Exchange Online et SharePoint.,Qu'est-ce que Google Workspace ?,L'équivalent de Microsoft 365 proposé par Google pour les entreprises.,Il inclut des services comme Gmail Google Drive Google Meet et Docs gérés depuis une console d'administration centralisée.,Quel service de Microsoft 365 gère la messagerie électronique d'entreprise ?,Exchange Online.,C'est la version cloud du serveur de messagerie Exchange permettant aux entreprises d'avoir des boîtes mail professionnelles sans héberger de serveur physique.,Que signifie le terme SaaS ?,Software as a Service (Logiciel en tant que service).,Le client consomme une application hébergée et maintenue par le fournisseur (comme Microsoft ou Google) généralement accessible via un navigateur web.,Quelle est la fonction principale de OneDrive Entreprise ?,Fournir un espace de stockage cloud personnel pour chaque utilisateur.,Il permet de sauvegarder des fichiers de les synchroniser sur plusieurs appareils et de les partager facilement avec des collègues.,Quel annuaire gère en arrière-plan les identités et les accès des utilisateurs de Microsoft 365 ?,Azure Active Directory (Microsoft Entra ID).,Chaque locataire (tenant) Microsoft 365 est associé à une instance Azure AD qui centralise l'authentification et les stratégies de sécurité.,À quoi sert une stratégie d'accès conditionnel (Conditional Access) dans un environnement SaaS ?,À bloquer ou autoriser l'accès aux services selon des conditions précises.,On peut par exemple exiger l'authentification multifacteur (MFA) uniquement si l'utilisateur se connecte depuis un emplacement inconnu ou un appareil non conforme.,Quelle est la différence d'usage principale entre SharePoint Online et OneDrive ?,SharePoint est conçu pour le travail en équipe et les intranets tandis que OneDrive est destiné au stockage individuel.,SharePoint permet de créer des sites d'équipe avec des bibliothèques de documents partagées et des gestions de droits avancées.,Comment fonctionne le modèle de tarification de solutions comme MS 365 ou Google Workspace ?,Par abonnement récurrent basé sur le nombre d'utilisateurs et le niveau de service.,On paie une licence mensuelle ou annuelle par utilisateur avec différents niveaux (comme Business Premium ou E5 chez Microsoft) offrant plus ou moins de fonctionnalités de sécurité et de conformité.,Dans Google Workspace quel outil permet de gérer et sécuriser les flottes de smartphones de l'entreprise ?,Google Endpoint Management.,C'est une solution MDM (Mobile Device Management) intégrée qui permet d'effacer les données à distance d'imposer un code de verrouillage ou de séparer les données pro et perso.
Administration Systèmes,Scripting Système,"Automatisation par script Python, PowerShell, Bash.",Quelle cmdlet PowerShell permet de lister les processus en cours d'exécution ?,Get-Process.,La commande Get-Process affiche une liste détaillée des processus actifs sur le système local ou distant.,Quel symbole est utilisé dans un script Bash pour rediriger la sortie standard vers un fichier en l'écrasant ?,Le symbole > (chevron simple).,Le chevron simple > écrase le contenu du fichier s'il existe déjà alors que le double chevron >> ajoute la sortie à la fin du fichier.,Comment importer un module externe dans un script Python ?,Avec le mot-clé import (par exemple import os).,L'instruction import permet d'utiliser des bibliothèques standards ou tierces pour enrichir les fonctionnalités du script sans réinventer la roue.,Qu'est-ce qu'une variable dans un script ?,Un espace de stockage en mémoire identifié par un nom qui contient une valeur modifiable.,En PowerShell on utilise le signe dollar $ devant le nom de la variable (ex: $maVariable) tout comme en Bash.,Quelle est l'extension de fichier standard pour un script PowerShell ?,L'extension .ps1.,Les scripts Python utilisent .py et les scripts Bash utilisent souvent .sh bien que sous Linux l'extension ne soit pas obligatoire.,À quoi sert le pipeline (symbole |) en PowerShell ou en Bash ?,À transmettre le résultat d'une commande comme entrée pour la commande suivante.,En PowerShell le pipeline transmet des objets complets avec leurs propriétés ce qui est beaucoup plus puissant qu'un simple flux de texte comme sous Bash.,"Que signifie le ""shebang"" (#!/bin/bash) placé au tout début d'un script Linux ?",Il indique au système d'exploitation quel interpréteur utiliser pour exécuter le script.,Si le shebang est absent le script sera exécuté par le shell par défaut de l'utilisateur ce qui peut causer des erreurs de syntaxe si le shell diffère.,En Python quelle structure de contrôle permet de gérer les exceptions et les erreurs lors de l'exécution ?,Le bloc try / except.,Cela permet au script de ne pas planter brutalement en cas d'erreur inattendue (comme un fichier introuvable) et de proposer un comportement alternatif.,Qu'est-ce que l'Execution Policy (stratégie d'exécution) sous PowerShell ?,C'est une sécurité qui détermine quels scripts sont autorisés à s'exécuter sur le système.,Par défaut elle est souvent définie sur Restricted ce qui bloque l'exécution de tout script. L'administrateur doit la modifier (ex: RemoteSigned) pour lancer ses propres scripts.,Pourquoi utilise-t-on le format JSON pour échanger des données entre des scripts ou des API ?,Car c'est un format de texte léger structuré et facilement lisible par les humains comme par les machines.,Python et PowerShell possèdent tous deux des cmdlets ou des modules natifs (comme ConvertFrom-Json ou le module json) pour manipuler facilement ces données.
Administration Systèmes,Exploitation,"Gestion des mises à jour (ex: WSUS), évaluation des charges de calcul et des temps de réponse.",Qu'est-ce que WSUS dans un environnement Windows ?,Windows Server Update Services permet de gérer et de distribuer les mises à jour Microsoft de manière centralisée.,Cela évite que chaque poste télécharge les mises à jour depuis Internet économisant ainsi la bande passante et permettant un contrôle des correctifs appliqués.,Pourquoi est-il important d'évaluer la charge de calcul d'un serveur ?,Pour s'assurer qu'il dispose de suffisamment de ressources CPU et RAM pour fonctionner correctement.,Une surcharge peut entrainer des lenteurs ou des plantages des services hébergés impactant directement les utilisateurs.,Quel outil intégré à Windows permet de surveiller les performances en temps réel ?,Le Gestionnaire des tâches ou le Moniteur de ressources.,Ces outils affichent l'utilisation du processeur de la mémoire du disque et du réseau pour aider à identifier rapidement les goulots d'étranglement.,"Que signifie le terme ""patch management"" ?",La gestion des correctifs informatiques.,C'est le processus vital qui consiste à tester et à déployer les mises à jour logicielles pour corriger des failles de sécurité ou des bugs de fonctionnement.,Quel environnement est recommandé avant de déployer une mise à jour critique en production ?,Un environnement de préproduction (ou de test).,Cela permet de vérifier que la nouvelle mise à jour ne provoque pas d'incompatibilité ou de panne avec les applications métiers existantes de l'entreprise.,Dans WSUS qu'est-ce qu'un groupe d'ordinateurs ?,C'est un regroupement logique de machines ciblé pour recevoir des mises à jour spécifiques.,On crée typiquement un groupe Pilote ou Test pour valider les correctifs avant d'approuver leur installation sur le groupe Production général.,Comment évaluer le temps de réponse d'un service web hébergé en interne ?,En utilisant des outils de supervision applicative qui mesurent le délai entre la requête HTTP et la réponse du serveur.,Un temps de réponse qui augmente soudainement indique souvent un problème de ressources serveur de requêtes base de données mal optimisées ou de saturation réseau.,Sous Linux quel outil interactif en ligne de commande permet de visualiser les processus les plus gourmands ?,La commande top (ou htop qui est plus visuelle).,Ces outils affichent la charge moyenne (load average) et la consommation de mémoire et de CPU pour chaque processus actif en temps réel.,Quelle est la différence entre une mise à jour de sécurité et une mise à jour de fonctionnalité ?,La mise à jour de sécurité corrige une vulnérabilité critique tandis que la fonctionnalité ajoute de nouveaux outils.,Les mises à jour de sécurité doivent être appliquées le plus rapidement possible (patch management) alors que les mises à jour de fonctionnalités peuvent être différées pour éviter de perturber les utilisateurs.,"Comment interpréter la valeur ""Load Average"" sous un système Linux ?",C'est une moyenne du nombre de processus en attente d'exécution ou en cours d'exécution sur le CPU.,Sur un serveur avec un seul cœur processeur un Load Average de 1.0 signifie que le CPU est utilisé à 100%. S'il y a 4 cœurs la charge maximale idéale sans attente est de 4.0.
Administration Systèmes,Gestion des actifs et licences,Connaissance des règles de gestion relatives aux licences systèmes et logicielles.,Qu'est-ce que la gestion des actifs informatiques (ITAM) ?,C'est le processus de suivi et de gestion du cycle de vie des équipements et logiciels de l'entreprise.,L'ITAM permet de savoir ce que l'entreprise possède où cela se trouve et qui l'utilise afin d'optimiser les coûts et la sécurité.,Que signifie l'acronyme SAM dans le domaine des licences ?,Software Asset Management (Gestion des actifs logiciels).,Le SAM est une pratique visant à gérer optimiser et protéger les achats de logiciels tout au long de leur cycle de vie.,Qu'est-ce qu'une licence logicielle ?,Un contrat juridique qui définit les droits d'utilisation et de redistribution d'un logiciel.,Utiliser un logiciel sans respecter sa licence (par exemple installer une version personnelle en entreprise) expose la société à des risques juridiques et financiers.,Quelle est la différence entre un logiciel libre (Open Source) et un logiciel propriétaire ?,Le code source d'un logiciel libre est accessible et modifiable alors que celui d'un logiciel propriétaire est fermé et contrôlé par son éditeur.,Attention un logiciel libre n'est pas toujours gratuit et il possède également une licence stricte (comme la GNU GPL) qu'il faut respecter.,Qu'est-ce qu'un audit de licences ?,Une vérification menée par un éditeur de logiciels pour s'assurer qu'une entreprise respecte bien les termes de ses contrats de licences.,Les éditeurs comme Microsoft ou Oracle réalisent régulièrement des audits. Une mauvaise gestion des licences peut entrainer de lourdes pénalités financières.,Que signifie l'acronyme CAL dans l'écosystème Microsoft ?,Client Access License (Licence d'accès client).,C'est une licence qui donne le droit à un utilisateur ou à un appareil de se connecter à un service hébergé sur un serveur Microsoft (comme Windows Server ou SQL Server).,Quelle est la différence entre une licence perpétuelle et une licence par abonnement (SaaS) ?,La licence perpétuelle s'achète une seule fois pour une version précise alors que l'abonnement nécessite un paiement récurrent pour continuer à utiliser le service.,Aujourd'hui la majorité des éditeurs (comme Adobe ou Microsoft avec MS 365) abandonnent les licences perpétuelles au profit d'abonnements offrant des mises à jour continues.,Comment fonctionne une licence flottante (ou licence réseau) ?,Un nombre limité de licences est partagé entre un plus grand nombre d'utilisateurs via un serveur de licences.,Si une entreprise possède 10 licences flottantes le 11ème utilisateur qui tente d'ouvrir le logiciel devra attendre qu'un de ses collègues ferme son application pour libérer un jeton d'accès.,Qu'est-ce que le modèle de licence basé sur les cœurs (Core-based) souvent utilisé pour les serveurs de bases de données ?,Le prix de la licence dépend du nombre de cœurs de processeur physiques ou virtuels alloués au serveur.,Ce modèle est très courant pour des produits très performants comme Microsoft SQL Server ou Oracle Database. Il exige une gestion rigoureuse des ressources matérielles allouées aux machines virtuelles.,Pourquoi l'utilisation de la virtualisation complique-t-elle souvent la gestion des licences logicielles ?,Car il est facile de cloner ou déplacer des machines virtuelles ce qui peut multiplier les instances de logiciels déployés sans achat de licences supplémentaires.,De plus certains éditeurs exigent de licencier toute la grappe de serveurs physiques (cluster) même si la machine virtuelle ne tourne que sur un seul hôte à un instant T.
Infrastructures Réseaux,Commutation et Routage,"Commutateurs niveau 2/3, routeurs, VLAN, routage statique et dynamique.",Qu'est-ce qu'un VLAN et quel est son but principal ?,Un réseau local virtuel qui permet de segmenter logiquement un réseau physique.,Cela isole le trafic de diffusion (broadcast) améliorant ainsi la sécurité et les performances du réseau local.,À quelle couche du modèle OSI fonctionne un commutateur (switch) classique ?,À la couche 2 (Liaison de données).,Il utilise les adresses MAC pour transférer les trames Ethernet vers le bon port de destination contrairement à un hub qui diffuse aveuglément sur tous les ports.,Quel est le rôle d'un routeur dans un réseau ?,Interconnecter différents réseaux logiques et diriger les paquets IP vers leur destination.,Il fonctionne à la couche 3 (Réseau) du modèle OSI et s'appuie sur une table de routage pour prendre ses décisions de transfert.,Quelle est la différence fondamentale entre une adresse MAC et une adresse IP ?,L'adresse MAC est l'identifiant matériel d'une carte réseau tandis que l'adresse IP est son identifiant logique.,L'adresse MAC est théoriquement immuable et sert pour les échanges locaux (couche 2) alors que l'adresse IP dépend du réseau auquel on se connecte et sert pour le routage global (couche 3).,Que signifie le routage statique ?,C'est une configuration où l'administrateur renseigne manuellement les routes réseau sur le routeur.,C'est très sûr et consomme peu de ressources mais cela devient vite ingérable sur de grands réseaux où la topologie évolue régulièrement.,Qu'est-ce qu'un commutateur de niveau 3 (Switch L3) ?,C'est un switch capable d'effectuer des fonctions de routage (couche 3) en plus de la commutation classique.,Il est très utilisé au cœur des réseaux d'entreprise pour réaliser du routage inter-VLAN à très haute vitesse sans saturer un routeur externe.,À quoi sert le protocole ARP (Address Resolution Protocol) ?,Il permet de découvrir l'adresse MAC associée à une adresse IPv4 connue sur un réseau local.,L'ordinateur diffuse une requête demandant qui possède telle IP et la machine concernée lui répond directement en fournissant son adresse MAC matérielle.,Quel est le principal avantage d'un protocole de routage dynamique comme OSPF ?,Il met à jour automatiquement la table de routage en cas de coupure de lien ou d'ajout d'un nouveau routeur.,OSPF échange des informations avec les routeurs voisins pour cartographier le réseau et calculer le chemin le plus court (algorithme de Dijkstra) sans intervention humaine.,Dans une configuration VLAN à quoi sert un lien Trunk ?,C'est un lien réseau configuré pour faire transiter le trafic de plusieurs VLAN simultanément.,Pour différencier les paquets le switch ajoute une étiquette (tag) à la trame Ethernet via le protocole 802.1Q pour indiquer à quel VLAN elle appartient.,Quelle est l'utilité d'une route par défaut (souvent notée 0.0.0.0/0) ?,Elle indique au routeur où envoyer les paquets dont la destination est absente de sa table de routage.,C'est le concept de la passerelle par défaut. Dans un réseau d'entreprise classique cette route pointe généralement vers le pare-feu ou le routeur de l'opérateur Internet.
Infrastructures Réseaux,Haute disponibilité réseau,"Agrégation de liens, protocoles HSRP, STP.",Qu'est-ce que la haute disponibilité dans un réseau ?,C'est la capacité du réseau à rester opérationnel même en cas de panne d'un composant.,On utilise la redondance matérielle et logicielle pour éviter qu'un point de défaillance unique ne coupe l'accès aux services.,Que signifie l'acronyme STP ?,Spanning Tree Protocol (Protocole d'arbre de recouvrement).,Ce protocole empêche la formation de boucles réseau infinies lorsque plusieurs chemins existent entre des commutateurs.,Quel est le problème majeur causé par une boucle de commutation (couche 2) ?,Elle provoque une tempête de diffusion (broadcast storm) qui sature complètement et rapidement le réseau.,Contrairement à la couche 3 (IP) qui a un champ TTL (Time To Live) les trames Ethernet de couche 2 tournent indéfiniment s'il y a une boucle.,Qu'est-ce que l'agrégation de liens (Link Aggregation) ?,C'est le fait de combiner plusieurs câbles physiques en un seul lien logique.,Cela permet d'augmenter la bande passante totale et d'assurer une redondance si un des câbles est débranché ou coupé.,Quel protocole standard est le plus souvent utilisé pour l'agrégation de liens ?,Le protocole LACP (Link Aggregation Control Protocol).,Il permet aux commutateurs de négocier automatiquement la création du lien agrégé (souvent appelé EtherChannel chez Cisco).,À quoi sert un protocole de redondance de premier saut (FHRP) comme HSRP ou VRRP ?,À fournir une adresse IP de passerelle par défaut virtuelle partagée entre plusieurs routeurs physiques.,Si le routeur principal (actif) tombe en panne le routeur secondaire (en veille) prend instantanément le relais avec la même adresse IP de manière transparente pour les utilisateurs.,Dans le protocole HSRP quelle adresse MAC particulière est utilisée par le routeur actif ?,Une adresse MAC virtuelle générée automatiquement pour l'adresse IP virtuelle.,Lors d'un basculement le nouveau routeur actif envoie un message ARP gratuit pour informer les commutateurs que cette adresse MAC virtuelle a changé de port physique.,Comment le protocole STP choisit-il le commutateur racine (Root Bridge) du réseau ?,En comparant les identifiants de pont (Bridge ID) composés de la priorité et de l'adresse MAC.,Le commutateur avec la priorité la plus basse devient la racine. En cas d'égalité c'est celui avec l'adresse MAC la plus basse qui l'emporte.,Quelle est la différence entre STP et RSTP (Rapid Spanning Tree Protocol) ?,RSTP (802.1w) est une évolution de STP (802.1d) conçue pour converger et rétablir le réseau beaucoup plus rapidement en cas de panne.,RSTP réduit le temps de blocage des ports de 50 secondes à quelques secondes seulement voire moins.,Qu'est-ce que la fonctionnalité PortFast dans le contexte du Spanning Tree ?,C'est une configuration qui permet à un port de passer immédiatement à l'état de transfert sans passer par les étapes d'écoute et d'apprentissage.,On l'active uniquement sur les ports connectés à des ordinateurs ou des serveurs finaux car on est certain qu'ils ne créeront pas de boucle de commutation.
